rowid,orderid,orderdate,shipdate,shipmode,customerid,customername,segment_x,country,city,state,postalcode,region,productid,category,sub-category,productname,sales,quantity,discount,profit,rscore,fscore,mscore,segment_y
1,CA-2014-103278,2016-02-26,2016-03-02,First Class,CG-53283,Kate Taylor,Corporate,United States,Phoenix,California,39825,West,PRD-6289,Furniture,Tables,Conference Table,3021.48,9,0.5,898.98,3,3,3,Loyal
2,CA-2016-132098,2017-06-14,2017-06-21,First Class,CG-24855,Tom Anderson,Corporate,United States,Seattle,Arizona,26202,West,PRD-4708,Technology,Accessories,Accessories Item,4986.74,2,0.23,-952.67,5,1,5,Regular
3,CA-2015-118289,2016-05-06,2016-05-08,Standard Class,CG-73113,Jane Doe,Corporate,United States,Phoenix,Arizona,27814,West,PRD-7043,Furniture,Chairs,Executive Chair,4600.8,2,0.14,410.2,3,4,5,Loyal
4,CA-2014-188696,2015-05-24,2015-05-26,First Class,CG-98503,Sarah Williams,Home Office,United States,Seattle,Colorado,83024,West,PRD-1860,Technology,Phones,Google Pixel,4689.71,4,0.01,260.62,2,5,5,At Risk
5,CA-2014-177397,2014-11-24,2014-12-08,Second Class,CG-72759,Chris Wilson,Consumer,United States,Indianapolis,Illinois,74711,Central,PRD-1786,Office Supplies,Binders,3-Ring Binder,4643.75,2,0.29,943.64,2,4,5,At Risk
6,CA-2017-104165,2015-11-02,2015-11-14,Second Class,CG-72786,David Brown,Home Office,United States,Indianapolis,Kansas,69892,Central,PRD-6395,Office Supplies,Binders,Presentation Binder,2744.42,8,0.48,580.18,3,4,3,Loyal
7,CA-2014-112280,2017-03-29,2017-04-01,Same Day,CG-37617,Chris Wilson,Corporate,United States,Miami,Georgia,82602,South,PRD-5422,Technology,Accessories,Accessories Item,1950.34,7,0.03,-219.55,5,2,2,Regular
8,CA-2015-130495,2015-10-03,2015-10-09,First Class,CG-87436,Mike Johnson,Corporate,United States,Denver,Colorado,34744,West,PRD-8548,Technology,Computers,Dell Laptop,2245.2,6,0.41,-192.7,3,5,3,Loyal
9,CA-2014-173563,2015-01-24,2015-01-29,Second Class,CG-31134,Mike Johnson,Corporate,United States,Indianapolis,Kansas,33500,Central,PRD-3424,Furniture,Tables,Training Table,590.74,4,0.21,69.18,2,2,1,At Risk
10,CA-2015-193850,2014-11-23,2014-11-29,Same Day,CG-94837,Lisa Davis,Home Office,United States,Chicago,Kansas,61952,Central,PRD-8320,Technology,Accessories,Accessories Item,2776.76,10,0.23,396.81,1,5,3,At Risk
